kind,net,layer,width_mm,start_x_mm,start_y_mm,end_x_mm,end_y_mm,diameter_mm,drill_mm
segment,CH_LED_1,B.Cu,0.200000,20.248500,20.926900,20.248500,23.606100,,
segment,CH_LED_1,B.Cu,0.200000,20.248500,23.606100,19.056400,24.798200,,
segment,CH_LED_1,B.Cu,0.200000,74.756900,16.250000,74.510800,16.496100,,
segment,CH_LED_1,B.Cu,0.200000,76.470000,16.250000,74.756900,16.250000,,
segment,CH_LED_1,F.Cu,0.200000,18.950000,24.904600,19.056400,24.798200,,
segment,CH_LED_1,F.Cu,0.200000,18.950000,26.000000,18.950000,24.904600,,
segment,CH_LED_1,F.Cu,0.200000,20.248500,20.926900,24.679300,16.496100,,
segment,CH_LED_1,F.Cu,0.200000,24.679300,16.496100,74.510800,16.496100,,
segment,CH_LED_10,B.Cu,0.200000,76.470000,20.750000,77.371700,20.750000,,
segment,CH_LED_10,B.Cu,0.200000,76.969900,23.969800,76.689000,23.969800,,
segment,CH_LED_10,B.Cu,0.200000,77.371700,20.750000,77.371700,23.568000,,
segment,CH_LED_10,B.Cu,0.200000,77.371700,23.568000,76.969900,23.969800,,
segment,CH_LED_10,F.Cu,0.200000,63.950000,26.000000,64.751700,26.000000,,
segment,CH_LED_10,F.Cu,0.200000,64.751700,25.599100,66.381000,23.969800,,
segment,CH_LED_10,F.Cu,0.200000,64.751700,26.000000,64.751700,25.599100,,
segment,CH_LED_10,F.Cu,0.200000,66.381000,23.969800,76.689000,23.969800,,
segment,CH_LED_10_A,F.Cu,0.250000,65.800000,31.500000,66.050000,26.000000,,
segment,CH_LED_1_A,F.Cu,0.250000,20.800000,31.500000,21.050000,26.000000,,
segment,CH_LED_2,B.Cu,0.200000,36.181800,21.833700,41.345500,16.670000,,
segment,CH_LED_2,B.Cu,0.200000,41.345500,16.670000,73.864800,16.670000,,
segment,CH_LED_2,B.Cu,0.200000,73.864800,16.670000,73.869500,16.674700,,
segment,CH_LED_2,B.Cu,0.200000,73.869500,16.674700,73.869500,16.745200,,
segment,CH_LED_2,B.Cu,0.200000,73.869500,16.745200,74.222100,17.097800,,
segment,CH_LED_2,B.Cu,0.200000,74.222100,17.097800,74.878900,17.097800,,
segment,CH_LED_2,B.Cu,0.200000,74.878900,17.097800,75.226700,16.750000,,
segment,CH_LED_2,B.Cu,0.200000,75.226700,16.750000,75.568300,16.750000,,
segment,CH_LED_2,B.Cu,0.200000,76.470000,16.750000,75.568300,16.750000,,
segment,CH_LED_2,F.Cu,0.200000,23.950000,26.000000,24.751700,26.000000,,
segment,CH_LED_2,F.Cu,0.200000,24.751700,25.601200,28.519100,21.833800,,
segment,CH_LED_2,F.Cu,0.200000,24.751700,26.000000,24.751700,25.601200,,
segment,CH_LED_2,F.Cu,0.200000,28.519100,21.833800,36.181800,21.833800,,
segment,CH_LED_2,F.Cu,0.200000,36.181800,21.833800,36.181800,21.833700,,
segment,CH_LED_2_A,F.Cu,0.250000,25.800000,31.500000,26.050000,26.000000,,
segment,CH_LED_3,B.Cu,0.200000,37.004100,21.862300,41.794700,17.071700,,
segment,CH_LED_3,B.Cu,0.200000,41.794700,17.071700,73.628000,17.071700,,
segment,CH_LED_3,B.Cu,0.200000,73.628000,17.071700,74.055800,17.499500,,
segment,CH_LED_3,B.Cu,0.200000,74.055800,17.499500,75.045200,17.499500,,
segment,CH_LED_3,B.Cu,0.200000,75.045200,17.499500,75.086700,17.458000,,
