kind,net,layer,width_mm,start_x_mm,start_y_mm,end_x_mm,end_y_mm,diameter_mm,drill_mm,start_layer,end_layer
segment,ADC_REF,B.Cu,0.150000,57.600000,32.550000,57.600000,33.581600,,,,
segment,ADC_REF,B.Cu,0.150000,57.600000,33.581600,57.989700,33.971300,,,,
segment,ADC_REF,F.Cu,0.150000,49.000000,59.550000,49.000000,60.576700,,,,
segment,ADC_REF,F.Cu,0.150000,49.000000,60.576700,49.077900,60.654600,,,,
segment,ADC_REF,F.Cu,0.150000,49.077900,60.654600,49.077900,61.541800,,,,
segment,ADC_REF,F.Cu,0.150000,49.077900,61.541800,53.213400,65.677300,,,,
segment,ADC_REF,F.Cu,0.150000,53.213400,65.677300,55.300000,65.677300,,,,
segment,ADC_REF,F.Cu,0.150000,55.300000,65.000000,55.300000,65.677300,,,,
segment,ADC_REF,F.Cu,0.150000,55.300000,65.677300,55.300000,66.600000,,,,
segment,ADC_REF,F.Cu,0.150000,55.300000,66.600000,56.700000,68.000000,,,,
segment,ADC_REF,F.Cu,0.150000,56.700000,68.000000,57.433100,68.733100,,,,
segment,ADC_REF,F.Cu,0.150000,56.993200,69.220300,57.433100,68.780400,,,,
segment,ADC_REF,F.Cu,0.150000,57.433100,68.733100,57.433100,68.780400,,,,
segment,ADC_REF,F.Cu,0.150000,57.433100,68.733100,58.966900,68.733100,,,,
segment,ADC_REF,F.Cu,0.150000,58.966900,68.733100,59.700000,68.000000,,,,
segment,ADC_REF,In1.Cu,0.150000,56.993200,57.535000,56.993200,69.220300,,,,
segment,ADC_REF,In1.Cu,0.150000,56.993200,57.535000,59.882500,54.645700,,,,
segment,ADC_REF,In1.Cu,0.150000,57.989700,33.971300,58.486000,34.467600,,,,
segment,ADC_REF,In1.Cu,0.150000,58.486000,34.467600,58.486000,42.572900,,,,
segment,ADC_REF,In1.Cu,0.150000,58.486000,42.572900,59.882500,43.969400,,,,
segment,ADC_REF,In1.Cu,0.150000,59.882500,43.969400,59.882500,54.645700,,,,
segment,AGND,B.Cu,0.150000,60.800000,37.450000,61.600000,37.450000,,,,
segment,AGND,B.Cu,0.150000,61.600000,37.450000,61.825200,37.675200,,,,
segment,AGND,B.Cu,0.150000,61.825200,37.675200,61.825200,49.032000,,,,
segment,AGND,B.Cu,0.150000,61.825200,49.032000,62.186300,49.393100,,,,
segment,AGND,F.Cu,0.150000,48.000000,58.523300,48.000000,59.550000,,,,
segment,AGND,F.Cu,0.150000,48.000000,58.523300,48.500000,58.523300,,,,
segment,AGND,F.Cu,0.150000,48.500000,58.523300,48.500000,59.550000,,,,
segment,AGND,F.Cu,0.150000,48.500000,58.523300,49.190600,57.832700,,,,
segment,AGND,F.Cu,0.150000,49.190600,57.832700,50.702900,57.832700,,,,
segment,AGND,F.Cu,0.150000,50.702900,57.832700,54.177800,61.307600,,,,
segment,AGND,F.Cu,0.150000,54.177800,61.307600,58.300000,61.307600,,,,
segment,AGND,F.Cu,0.150000,56.700000,65.000000,56.700000,65.660700,,,,
segment,AGND,F.Cu,0.150000,56.700000,65.000000,57.934800,63.765200,,,,
segment,AGND,F.Cu,0.150000,56.700000,65.660700,58.300000,67.260700,,,,
segment,AGND,F.Cu,0.150000,57.934800,63.765200,58.439900,63.765200,,,,
segment,AGND,F.Cu,0.150000,58.300000,61.307600,58.300000,62.000000,,,,
segment,AGND,F.Cu,0.150000,58.300000,61.307600,60.607600,61.307600,,,,
segment,AGND,F.Cu,0.150000,58.300000,67.260700,58.300000,68.000000,,,,
segment,AGND,F.Cu,0.150000,58.300000,67.260700,60.560700,67.260700,,,,
segment,AGND,F.Cu,0.150000,58.439900,63.765200,59.142600,63.062500,,,,
segment,AGND,F.Cu,0.150000,59.142600,63.062500,60.237500,63.062500,,,,
segment,AGND,F.Cu,0.150000,60.237500,63.062500,61.300000,62.000000,,,,
segment,AGND,F.Cu,0.150000,60.560700,67.260700,61.300000,68.000000,,,,
segment,AGND,F.Cu,0.150000,60.607600,61.307600,61.300000,62.000000,,,,
segment,AGND,F.Cu,0.150000,61.300000,62.000000,61.672500,61.627500,,,,
segment,AGND,F.Cu,0.150000,61.672500,61.627500,62.584800,61.627500,,,,
segment,AGND,In1.Cu,0.150000,62.020500,56.431600,62.020500,61.063200,,,,
segment,AGND,In1.Cu,0.150000,62.020500,56.431600,62.186300,56.265800,,,,
segment,AGND,In1.Cu,0.150000,62.020500,61.063200,62.584800,61.627500,,,,
segment,AGND,In1.Cu,0.150000,62.186300,49.393100,62.186300,56.265800,,,,
segment,BACKUP_AON,F.Cu,0.150000,66.400000,41.370000,67.526700,41.370000,,,,
segment,BACKUP_AON,F.Cu,0.150000,67.526700,41.370000,68.047400,40.849300,,,,
segment,BACKUP_AON,F.Cu,0.150000,68.047400,40.849300,73.278500,40.849300,,,,
segment,BACKUP_AON,F.Cu,0.150000,73.278500,40.849300,74.364300,39.763500,,,,
segment,BACKUP_AON,In1.Cu,0.150000,74.364300,39.763500,76.000000,38.127800,,,,
segment,BACKUP_AON,In1.Cu,0.150000,76.000000,38.127800,76.000000,5.500000,,,,
segment,BLE_RESET_N,F.Cu,0.150000,65.500000,44.600000,65.500000,54.580000,,,,
segment,BLE_RESET_N,F.Cu,0.150000,65.500000,44.600000,82.800000,44.600000,,,,
segment,BLE_RESET_N,F.Cu,0.150000,65.500000,54.580000,66.200000,53.400000,,,,
segment,BLE_RESET_N,F.Cu,0.150000,66.200000,50.400000,66.200000,53.400000,,,,
segment,BLE_RESET_N,F.Cu,0.150000,66.200000,50.400000,67.600000,49.000000,,,,
segment,BLE_RESET_N,F.Cu,0.150000,67.600000,49.000000,68.400000,49.000000,,,,
segment,BLE_RESET_N,F.Cu,0.150000,68.400000,49.000000,72.800000,44.600000,,,,
segment,BLE_RESET_N,F.Cu,0.150000,72.800000,43.400000,72.800000,44.600000,,,,
segment,BLE_RESET_N,F.Cu,0.150000,72.800000,43.400000,77.800000,38.400000,,,,
segment,BLE_RESET_N,F.Cu,0.150000,77.800000,38.400000,78.950000,37.700000,,,,
segment,BLE_RESET_N,F.Cu,0.150000,78.950000,37.700000,98.000000,39.000000,,,,
segment,BLE_RESET_N,F.Cu,0.150000,82.800000,44.600000,82.800000,63.000000,,,,
segment,BLE_RESET_N_MCU,F.Cu,0.150000,37.450000,56.500000,38.476700,56.500000,,,,
segment,BLE_RESET_N_MCU,F.Cu,0.150000,38.476700,56.500000,38.476700,56.583400,,,,
segment,BLE_RESET_N_MCU,F.Cu,0.150000,38.476700,56.583400,38.670600,56.777300,,,,
segment,BLE_RESET_N_MCU,F.Cu,0.150000,60.200000,64.000000,61.522700,62.677300,,,,
segment,BLE_RESET_N_MCU,F.Cu,0.150000,61.522700,62.677300,62.679300,62.677300,,,,
segment,BLE_RESET_N_MCU,F.Cu,0.150000,62.679300,62.677300,62.998900,62.357700,,,,
segment,BLE_RESET_N_MCU,F.Cu,0.150000,75.165500,42.737400,76.239300,42.737400,,,,
segment,BLE_RESET_N_MCU,F.Cu,0.150000,76.239300,42.737400,78.000000,40.976700,,,,
segment,BLE_RESET_N_MCU,F.Cu,0.150000,78.000000,40.300000,78.000000,40.976700,,,,
segment,BLE_RESET_N_MCU,In1.Cu,0.150000,62.998900,62.357700,63.253900,62.102700,,,,
segment,BLE_RESET_N_MCU,In1.Cu,0.150000,63.253900,57.119000,63.253900,62.102700,,,,
segment,BLE_RESET_N_MCU,In1.Cu,0.150000,63.253900,57.119000,70.855100,57.119000,,,,
segment,BLE_RESET_N_MCU,In1.Cu,0.150000,70.855100,57.119000,75.165500,52.808600,,,,
segment,BLE_RESET_N_MCU,In1.Cu,0.150000,75.165500,42.737400,75.165500,52.808600,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,38.670600,56.777300,39.802000,56.777300,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,39.802000,56.777300,40.116400,56.462900,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,40.116400,56.462900,43.052600,56.462900,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,43.052600,56.462900,43.230600,56.284900,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,43.230600,56.284900,49.163700,56.284900,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,49.163700,56.284900,49.227100,56.348300,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,49.227100,56.348300,49.622000,56.348300,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,49.622000,56.348300,49.949600,56.020700,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,49.949600,56.020700,52.587500,56.020700,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,52.587500,56.020700,53.187900,56.621100,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,53.187900,56.621100,60.691000,56.621100,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,60.691000,56.621100,61.159800,56.152300,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,61.159800,56.152300,62.694700,56.152300,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,62.694700,56.152300,63.253900,56.711500,,,,
segment,BLE_RESET_N_MCU,In3.Cu,0.150000,63.253900,56.711500,63.253900,57.119000,,,,
