kind,net,layer,width_mm,start_x_mm,start_y_mm,end_x_mm,end_y_mm,diameter_mm,drill_mm,start_layer,end_layer
segment,CAN1_HARNESS_H,F.Cu,0.200000,134.405600,43.550700,140.758600,37.197700,,,,
segment,CAN1_HARNESS_H,F.Cu,0.200000,134.405600,44.512400,134.405600,43.550700,,,,
segment,CAN1_HARNESS_H,F.Cu,0.200000,135.218200,45.325000,134.405600,44.512400,,,,
segment,CAN1_HARNESS_H,F.Cu,0.200000,135.550000,45.325000,135.218200,45.325000,,,,
segment,CAN1_HARNESS_H,F.Cu,0.200000,140.758600,37.197700,142.241400,37.197700,,,,
segment,CAN1_HARNESS_H,F.Cu,0.200000,142.000000,41.298700,142.000000,39.800000,,,,
segment,CAN1_HARNESS_H,F.Cu,0.200000,142.241400,37.197700,146.641800,41.598100,,,,
segment,CAN1_HARNESS_H,F.Cu,0.200000,145.908000,45.206700,142.000000,41.298700,,,,
segment,CAN1_HARNESS_H,F.Cu,0.200000,145.908000,45.206700,145.908000,46.058000,,,,
segment,CAN1_HARNESS_H,F.Cu,0.200000,145.908000,46.058000,145.950000,46.100000,,,,
segment,CAN1_HARNESS_H,F.Cu,0.200000,146.641800,41.598100,146.641800,44.472900,,,,
segment,CAN1_HARNESS_H,F.Cu,0.200000,146.641800,44.472900,145.908000,45.206700,,,,
segment,CAN1_HARNESS_L,F.Cu,0.200000,134.807300,43.724300,140.331600,38.200000,,,,
segment,CAN1_HARNESS_L,F.Cu,0.200000,134.807300,44.254500,134.807300,43.724300,,,,
segment,CAN1_HARNESS_L,F.Cu,0.200000,135.227800,44.675000,134.807300,44.254500,,,,
segment,CAN1_HARNESS_L,F.Cu,0.200000,135.550000,44.675000,135.227800,44.675000,,,,
segment,CAN1_HARNESS_L,F.Cu,0.200000,140.331600,38.200000,142.000000,38.200000,,,,
segment,CAN1_HARNESS_L,F.Cu,0.200000,145.950000,42.150000,142.000000,38.200000,,,,
segment,CAN1_HARNESS_L,F.Cu,0.200000,145.950000,43.900000,145.950000,42.150000,,,,
segment,CAN1_PHY_SILENT,F.Cu,0.200000,132.200000,38.000000,134.003900,39.803900,,,,
segment,CAN1_PHY_SILENT,F.Cu,0.200000,134.003900,39.803900,134.003900,45.314400,,,,
segment,CAN1_PHY_SILENT,F.Cu,0.200000,134.003900,45.314400,134.744400,46.054900,,,,
segment,CAN1_PHY_SILENT,F.Cu,0.200000,134.744400,46.054900,135.470100,46.054900,,,,
segment,CAN1_PHY_SILENT,F.Cu,0.200000,135.470100,46.054900,135.550000,45.975000,,,,
segment,CAN1_PHY_SILENT,F.Cu,0.200000,135.550000,45.975000,136.430000,46.855000,,,,
segment,CAN1_PHY_SILENT,F.Cu,0.200000,136.430000,46.855000,136.430000,51.000000,,,,
segment,CAN1_RX_ROUTE,B.Cu,0.200000,136.099800,40.622300,125.520400,40.622300,,,,
segment,CAN1_RX_ROUTE,B.Cu,0.200000,139.627200,44.149700,136.099800,40.622300,,,,
segment,CAN1_RX_ROUTE,F.Cu,0.200000,125.520400,40.622300,70.859000,40.622300,,,,
segment,CAN1_RX_ROUTE,F.Cu,0.200000,138.450000,44.025000,139.502500,44.025000,,,,
segment,CAN1_RX_ROUTE,F.Cu,0.200000,139.502500,44.025000,139.627200,44.149700,,,,
segment,CAN1_RX_ROUTE,F.Cu,0.200000,69.800000,41.681300,69.800000,42.550000,,,,
segment,CAN1_RX_ROUTE,F.Cu,0.200000,70.859000,40.622300,69.800000,41.681300,,,,
segment,CAN1_TXD_SAFE,B.Cu,0.200000,124.895800,40.391400,127.287200,38.000000,,,,
segment,CAN1_TXD_SAFE,B.Cu,0.200000,124.895800,48.937600,124.895800,40.391400,,,,
segment,CAN1_TXD_SAFE,B.Cu,0.200000,127.287200,38.000000,128.735600,38.000000,,,,
segment,CAN1_TXD_SAFE,B.Cu,0.200000,127.748900,51.790700,124.895800,48.937600,,,,
segment,CAN1_TXD_SAFE,F.Cu,0.200000,127.430000,51.000000,127.430000,51.470800,,,,
segment,CAN1_TXD_SAFE,F.Cu,0.200000,127.430000,51.470800,127.430000,51.570200,,,,
segment,CAN1_TXD_SAFE,F.Cu,0.200000,127.430000,51.570200,127.430000,51.571700,,,,
segment,CAN1_TXD_SAFE,F.Cu,0.200000,127.430000,51.571700,127.837000,51.978700,,,,
segment,CAN1_TXD_SAFE,F.Cu,0.200000,127.528400,51.570200,127.430000,51.570200,,,,
segment,CAN1_TXD_SAFE,F.Cu,0.200000,127.748900,51.790700,127.528400,51.570200,,,,
segment,CAN1_TXD_SAFE,F.Cu,0.200000,127.800000,38.000000,128.735600,38.000000,,,,
segment,CAN1_TXD_SAFE,F.Cu,0.200000,127.837000,51.978700,137.019800,51.978700,,,,
segment,CAN1_TXD_SAFE,F.Cu,0.200000,137.019800,51.978700,138.450000,50.548500,,,,
segment,CAN1_TXD_SAFE,F.Cu,0.200000,138.450000,50.548500,138.450000,45.975000,,,,
segment,CAN1_TX_DISABLED_STATUS,B.Cu,0.200000,128.878100,43.915400,126.205000,41.242300,,,,
segment,CAN1_TX_DISABLED_STATUS,B.Cu,0.200000,128.878100,49.672700,128.878100,43.915400,,,,
segment,CAN1_TX_DISABLED_STATUS,F.Cu,0.200000,125.741100,39.991100,126.205000,40.455000,,,,
segment,CAN1_TX_DISABLED_STATUS,F.Cu,0.200000,126.205000,40.455000,126.205000,41.242300,,,,
segment,CAN1_TX_DISABLED_STATUS,F.Cu,0.200000,128.878100,49.672700,129.674400,49.672700,,,,
segment,CAN1_TX_DISABLED_STATUS,F.Cu,0.200000,129.674400,49.672700,130.430000,50.428300,,,,
segment,CAN1_TX_DISABLED_STATUS,F.Cu,0.200000,130.430000,50.428300,133.430000,50.428300,,,,
segment,CAN1_TX_DISABLED_STATUS,F.Cu,0.200000,130.430000,51.000000,130.430000,50.428300,,,,
segment,CAN1_TX_DISABLED_STATUS,F.Cu,0.200000,133.430000,51.000000,133.430000,50.428300,,,,
segment,CAN1_TX_DISABLED_STATUS,F.Cu,0.200000,69.000000,41.561300,70.570200,39.991100,,,,
segment,CAN1_TX_DISABLED_STATUS,F.Cu,0.200000,69.000000,42.550000,69.000000,41.561300,,,,
segment,CAN1_TX_DISABLED_STATUS,F.Cu,0.200000,70.570200,39.991100,125.741100,39.991100,,,,
segment,CAN1_TX_DISABLE_CMD,B.Cu,0.200000,126.062300,47.603900,126.062300,43.300000,,,,
segment,CAN1_TX_DISABLE_CMD,B.Cu,0.200000,127.412300,48.953900,126.062300,47.603900,,,,
segment,CAN1_TX_DISABLE_CMD,F.Cu,0.200000,125.907400,39.589400,70.289100,39.589400,,,,
segment,CAN1_TX_DISABLE_CMD,F.Cu,0.200000,127.412300,48.953900,127.430000,48.953900,,,,
segment,CAN1_TX_DISABLE_CMD,F.Cu,0.200000,127.430000,48.000000,127.430000,48.571700,,,,
segment,CAN1_TX_DISABLE_CMD,F.Cu,0.200000,127.430000,48.571700,127.430000,48.953900,,,,
segment,CAN1_TX_DISABLE_CMD,F.Cu,0.200000,127.430000,48.953900,127.430000,49.075400,,,,
segment,CAN1_TX_DISABLE_CMD,F.Cu,0.200000,127.430000,49.075400,128.782900,50.428300,,,,
segment,CAN1_TX_DISABLE_CMD,F.Cu,0.200000,128.782900,50.428300,129.570000,50.428300,,,,
segment,CAN1_TX_DISABLE_CMD,F.Cu,0.200000,129.050000,42.732000,125.907400,39.589400,,,,
segment,CAN1_TX_DISABLE_CMD,F.Cu,0.200000,129.050000,43.300000,126.062300,43.300000,,,,
segment,CAN1_TX_DISABLE_CMD,F.Cu,0.200000,129.050000,43.300000,129.050000,42.732000,,,,
segment,CAN1_TX_DISABLE_CMD,F.Cu,0.200000,129.570000,51.000000,129.570000,50.428300,,,,
segment,CAN1_TX_DISABLE_CMD,F.Cu,0.200000,68.200000,41.678500,68.200000,42.550000,,,,
segment,CAN1_TX_DISABLE_CMD,F.Cu,0.200000,70.289100,39.589400,68.200000,41.678500,,,,
segment,CAN1_TX_GATE_OUT,F.Cu,0.200000,127.593000,39.393000,126.200000,38.000000,,,,
segment,CAN1_TX_GATE_OUT,F.Cu,0.200000,129.643000,39.393000,127.593000,39.393000,,,,
segment,CAN1_TX_GATE_OUT,F.Cu,0.200000,130.950000,40.700000,129.643000,39.393000,,,,
segment,CAN1_TX_ROUTE,F.Cu,0.200000,122.568500,41.182500,125.606300,44.220300,,,,
segment,CAN1_TX_ROUTE,F.Cu,0.200000,125.606300,44.220300,129.420100,44.220300,,,,
segment,CAN1_TX_ROUTE,F.Cu,0.200000,129.420100,44.220300,130.000000,43.640400,,,,
segment,CAN1_TX_ROUTE,F.Cu,0.200000,130.000000,43.640400,130.000000,43.300000,,,,
segment,CAN1_TX_ROUTE,F.Cu,0.200000,70.600000,41.681300,71.098800,41.182500,,,,
segment,CAN1_TX_ROUTE,F.Cu,0.200000,70.600000,42.550000,70.600000,41.681300,,,,
segment,CAN1_TX_ROUTE,F.Cu,0.200000,71.098800,41.182500,122.568500,41.182500,,,,
via,CAN1_RX_ROUTE,,,125.520400,40.622300,,,0.600000,0.300000,F.Cu,B.Cu
via,CAN1_RX_ROUTE,,,139.627200,44.149700,,,0.600000,0.300000,F.Cu,B.Cu
via,CAN1_TXD_SAFE,,,127.748900,51.790700,,,0.600000,0.300000,F.Cu,B.Cu
via,CAN1_TXD_SAFE,,,128.735600,38.000000,,,0.600000,0.300000,F.Cu,B.Cu
via,CAN1_TX_DISABLED_STATUS,,,126.205000,41.242300,,,0.600000,0.300000,F.Cu,B.Cu
via,CAN1_TX_DISABLED_STATUS,,,128.878100,49.672700,,,0.600000,0.300000,F.Cu,B.Cu
via,CAN1_TX_DISABLE_CMD,,,126.062300,43.300000,,,0.600000,0.300000,F.Cu,B.Cu
via,CAN1_TX_DISABLE_CMD,,,127.412300,48.953900,,,0.600000,0.300000,F.Cu,B.Cu
