kind,net,layer,width_mm,start_x_mm,start_y_mm,end_x_mm,end_y_mm,diameter_mm,drill_mm,start_layer,end_layer
segment,FOG_A_SW_IN,F.Cu,0.25,4.0,23.5,6.0,23.5,,,,
segment,FOG_A_SW_IN,F.Cu,0.25,6.0,23.5,9.05,24.4,,,,
segment,FOG_A_SW_IN,F.Cu,0.25,9.05,24.4,15.0,24.4,,,,
via,FOG_A_SW_IN,,,15.0,24.4,,,0.6,0.3,F.Cu,In2.Cu
segment,FOG_A_SW_IN,In2.Cu,0.25,15.0,24.4,80.2,38.0,,,,
via,FOG_A_SW_IN,,,80.2,38.0,,,0.6,0.3,F.Cu,In2.Cu
segment,FOG_A_SW_IN,F.Cu,0.25,80.2,38.0,80.2,42.55,,,,
segment,FOG_B_SW_IN,F.Cu,0.25,4.0,27.0,6.0,27.0,,,,
segment,FOG_B_SW_IN,F.Cu,0.25,6.0,27.0,9.05,26.6,,,,
segment,FOG_B_SW_IN,F.Cu,0.25,9.05,26.6,15.0,26.6,,,,
via,FOG_B_SW_IN,,,15.0,26.6,,,0.6,0.3,F.Cu,In2.Cu
segment,FOG_B_SW_IN,In2.Cu,0.25,15.0,26.6,81.0,39.0,,,,
via,FOG_B_SW_IN,,,81.0,39.0,,,0.6,0.3,F.Cu,In2.Cu
segment,FOG_B_SW_IN,F.Cu,0.25,81.0,39.0,81.0,42.55,,,,
segment,SW_COMMON,F.Cu,0.25,4.0,20.0,1.5,20.0,,,,
segment,SW_COMMON,F.Cu,0.25,1.5,20.0,1.5,31.8,,,,
segment,SW_COMMON,F.Cu,0.25,1.5,31.8,13.0,31.8,,,,
segment,SW_12V_FUSED,F.Cu,0.25,13.0,30.2,16.0,30.2,,,,
segment,SW_12V_FUSED,F.Cu,0.25,16.0,30.2,17.0,29.35,,,,
segment,GND,F.Cu,0.5,9.0,30.2,10.5,30.2,,,,
via,GND,,,10.5,30.2,,,0.8,0.4,F.Cu,B.Cu
segment,GND,B.Cu,0.5,10.5,30.2,11.8,25.5,,,,
via,GND,,,11.8,25.5,,,0.8,0.4,F.Cu,B.Cu
segment,GND,F.Cu,0.5,11.8,25.5,10.95,25.5,,,,
