kind,net,start_x_mm,start_y_mm,end_x_mm,end_y_mm,width_mm,layer,diameter_mm,drill_mm,start_layer,end_layer,via_type
segment,AGND,127.475800,38.200000,126.720500,38.955300,0.200000,B.Cu,,,,,
segment,AGND,127.900000,38.200000,127.475800,38.200000,0.200000,B.Cu,,,,,
segment,AGND,64.200000,47.450000,63.400000,47.450000,0.200000,F.Cu,,,,,
segment,AGND,64.200000,47.450000,64.200000,48.351000,0.200000,F.Cu,,,,,
segment,AGND,64.200000,48.351000,64.978500,49.129500,0.200000,F.Cu,,,,,
segment,AGND,64.978500,49.129500,68.834100,49.129500,0.200000,F.Cu,,,,,
segment,AGND,106.635600,44.831500,87.416200,44.831500,0.200000,In6.Cu,,,,,
segment,AGND,108.617300,42.849800,106.635600,44.831500,0.200000,In6.Cu,,,,,
segment,AGND,120.246400,42.849800,108.617300,42.849800,0.200000,In6.Cu,,,,,
segment,AGND,124.140900,38.955300,120.246400,42.849800,0.200000,In6.Cu,,,,,
segment,AGND,126.720500,38.955300,124.140900,38.955300,0.200000,In6.Cu,,,,,
segment,AGND,72.331200,49.129500,68.834100,49.129500,0.200000,In6.Cu,,,,,
segment,AGND,75.715000,45.745700,72.331200,49.129500,0.200000,In6.Cu,,,,,
segment,AGND,77.815000,45.745700,75.715000,45.745700,0.200000,In6.Cu,,,,,
segment,AGND,78.274400,45.286300,77.815000,45.745700,0.200000,In6.Cu,,,,,
segment,AGND,82.234400,45.286300,78.274400,45.286300,0.200000,In6.Cu,,,,,
segment,AGND,82.628900,45.680800,82.234400,45.286300,0.200000,In6.Cu,,,,,
segment,AGND,83.127200,45.680800,82.628900,45.680800,0.200000,In6.Cu,,,,,
segment,AGND,83.526100,45.281800,83.526100,45.281900,0.200000,In6.Cu,,,,,
segment,AGND,83.526100,45.281900,83.127200,45.680800,0.200000,In6.Cu,,,,,
segment,AGND,86.965900,45.281800,83.526100,45.281800,0.200000,In6.Cu,,,,,
segment,AGND,87.416200,44.831500,86.965900,45.281800,0.200000,In6.Cu,,,,,
via,AGND,126.720500,38.955300,,,,,0.600000,0.300000,F.Cu,B.Cu,through
via,AGND,68.834100,49.129500,,,,,0.600000,0.300000,F.Cu,B.Cu,through
segment,BUCK_BST,119.000000,14.850000,119.787800,14.850000,0.200000,F.Cu,,,,,
segment,BUCK_BST,119.787800,14.850000,120.007800,14.630000,0.200000,F.Cu,,,,,
segment,BUCK_BST,121.280000,14.630000,120.007800,14.630000,0.200000,F.Cu,,,,,
segment,BUCK_EN_UVLO,114.000000,2.150000,116.300000,2.150000,0.200000,F.Cu,,,,,
